Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock_Name,Adjusted_Date,open_next_day,open_close_diff,close_next_open_diff,open_next_open_diff,Label
2024-11-07 00:00:00+05:30,2181.800048828125,2181.800048828125,2096.10009765625,2111.5,1124923,0.0,0.0,LUPIN.NS,2024-11-07,2144.89990234375,-70.300048828125,33.39990234375,-36.900146484375,1
2024-11-08 00:00:00+05:30,2144.89990234375,2156.699951171875,2078.85009765625,2104.60009765625,3459521,0.0,0.0,LUPIN.NS,2024-11-08,2140.0,-40.2998046875,35.39990234375,-4.89990234375,1
2024-11-11 00:00:00+05:30,2140.0,2142.449951171875,2074.949951171875,2084.89990234375,1335431,0.0,0.0,LUPIN.NS,2024-11-11,2085.14990234375,-55.10009765625,0.25,-54.85009765625,-1
2024-11-12 00:00:00+05:30,2085.14990234375,2129.0,2077.85009765625,2090.10009765625,1313915,0.0,0.0,LUPIN.NS,2024-11-12,2088.449951171875,4.9501953125,-1.650146484375,3.300048828125,1
2024-11-13 00:00:00+05:30,2088.449951171875,2088.449951171875,2030.1500244140625,2039.0,681649,0.0,0.0,LUPIN.NS,2024-11-13,2039.0,-49.449951171875,0.0,-49.449951171875,-1
2024-11-14 00:00:00+05:30,2039.0,2053.25,2004.6500244140625,2015.8499755859373,663815,0.0,0.0,LUPIN.NS,2024-11-14,2007.5,-23.150024414062727,-8.349975585937273,-31.5,-1
2024-11-18 00:00:00+05:30,2007.5,2044.800048828125,2000.0,2035.75,1117238,0.0,0.0,LUPIN.NS,2024-11-18,2042.699951171875,28.25,6.949951171875,35.199951171875,1
2024-11-19 00:00:00+05:30,2042.699951171875,2054.39990234375,2024.199951171875,2038.199951171875,585164,0.0,0.0,LUPIN.NS,2024-11-19,2024.5,-4.5,-13.699951171875,-18.199951171875,-1
2024-11-21 00:00:00+05:30,2024.5,2065.0,2008.5,2043.0,504433,0.0,0.0,LUPIN.NS,2024-11-21,2040.949951171875,18.5,-2.050048828125,16.449951171875,-1
2024-11-22 00:00:00+05:30,2040.949951171875,2077.199951171875,2034.0,2071.35009765625,410403,0.0,0.0,LUPIN.NS,2024-11-22,2086.60009765625,30.400146484375,15.25,45.650146484375,1
2024-11-25 00:00:00+05:30,2086.60009765625,2119.0,2077.699951171875,2107.14990234375,990397,0.0,0.0,LUPIN.NS,2024-11-25,2107.050048828125,20.5498046875,-0.099853515625,20.449951171875,1
2024-11-26 00:00:00+05:30,2107.050048828125,2113.14990234375,2030.1500244140625,2036.0,671643,0.0,0.0,LUPIN.NS,2024-11-26,2036.5999755859373,-71.050048828125,0.5999755859372726,-70.45007324218773,-1
2024-11-27 00:00:00+05:30,2036.5999755859373,2041.8499755859373,2000.550048828125,2006.3499755859373,1000543,0.0,0.0,LUPIN.NS,2024-11-27,2005.9000244140625,-30.25,-0.4499511718747726,-30.699951171874773,-1
2024-11-28 00:00:00+05:30,2005.9000244140625,2021.0,1986.0,1998.4000244140625,941637,0.0,0.0,LUPIN.NS,2024-11-28,2001.5999755859373,-7.5,3.1999511718747726,-4.300048828125227,1
2024-11-29 00:00:00+05:30,2001.5999755859373,2059.550048828125,1999.0,2050.75,820811,0.0,0.0,LUPIN.NS,2024-11-29,2049.5,49.15002441406273,-1.25,47.90002441406273,1
